,ENTREGA,peso,precio,importe,Nº fra,fecha cierre,Peso cerrado,Peso Devuelto,Exportación,entrega terminada?,pagado,DEVOLUCIÓN,FILTER,Base OT,Base grs,p. cl calculo,p. jofisa,imp. Jofisa,MGN
NJ,23/May/25,50,"99,33","4966,5",2025-65.pdf,27/05/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2913,96","93,7","99,33","93,95","4697,5",269
NJ,23/May/25,50,"99,33","4966,5",2025-66.pdf,27/05/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2913,96","93,7","99,33","93,95","4697,5",269
NJ,23/May/25,50,"99,33","4966,5",2025-67.pdf,27/05/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2913,96","93,7","99,33","93,95","4697,5",269
NJ,23/May/25,50,"97,79","4889,5",2025-82.pdf,24/06/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2868,68","92,25","97,79","92,5",4625,"264,5"
NJ,23/May/25,50,"97,79","4889,5",2025-82.pdf,24/06/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2868,68","92,25","97,79","92,5",4625,"264,5"
NJ,23/May/25,50,"97,79","4889,5",2025-83.pdf,24/06/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2868,68","92,25","97,79","92,5",4625,"264,5"
NJ,23/May/25,50,"97,79","4889,5",2025-83.pdf,24/06/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2868,68","92,25","97,79","92,5",4625,"264,5"
NJ,23/May/25,50,"97,23","4861,5",2025-86.pdf,26/06/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2852,53","91,72","97,23","91,97","4598,5",263
NJ,23/May/25,50,"97,23","4861,5",2025-87.pdf,26/06/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2852,53","91,72","97,23","91,97","4598,5",263
NJ,23/May/25,50,"95,74",4787,2025-88.pdf,30/06/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2808,69","90,32","95,74","90,57","4528,5","258,5"
NJ,23/May/25,50,"95,74",4787,2025-89.pdf,30/06/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2808,69","90,31","95,74","90,56",4528,259
NJ,23/May/25,50,"97,55","4877,5",2025-114.pdf,18/08/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2861,79","92,02","97,55","92,27","4613,5",264
NJ,23/May/25,50,"97,55","4877,5",2025-116.pdf,18/08/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2861,79","92,02","97,55","92,27","4613,5",264
NJ,02/Jul/25,50,"99,28",4964,2025-117.pdf,28/08/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"2912,59","93,66","99,28","93,91","4695,5","268,5"
NJ,02/Jul/25,50,"106,09","5304,5",2025-122.pdf,9/12/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"3112,59","100,08","106,09","100,33","5016,5",288
NJ,02/Jul/25,50,"105,84",5292,2025-123.pdf,15/09/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"3105,23","99,84","105,84","100,09","5004,5","287,5"
NJ,02/Jul/25,50,"105,39","5269,5",2025-130.pdf,17/09/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"3098,12","99,61","105,59","99,86",4993,"276,5"
NJ,02/Jul/25,50,"105,39","5269,5",2025-131.pdf,17/09/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"3098,12","99,61","105,59","99,86",4993,"276,5"
NJ,02/Jul/25,50,"105,57","5278,5",2025-133.pdf,17/09/2025,50,0,5-7,Finalizado,TRUE,FALSE,TRUE,"3097,51","99,59","105,57","99,84",4992,"286,5"
NJ,18/Sep/25,50,"105,45","5272,5",2025-134.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"105,45","5272,5",2025-134.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"105,45","5272,5",2025-134.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"105,45","5272,5",2025-135.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"105,45","5272,5",2025-135.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"105,45","5272,5",2025-135.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"105,45","5272,5",2025-136.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"105,45","5272,5",2025-136.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"105,45","5272,5",2025-136.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"105,45","5272,5",2025-137.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"105,45","5272,5",2025-137.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"105,45","5272,5",2025-137.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"105,45","5272,5",2025-138.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"105,45","5272,5",2025-138.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"105,45","5272,5",2025-138.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"105,45","5272,5",2025-139.pdf,19/09/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3094,02","99,48","105,45","99,73","4986,5",286
NJ,18/Sep/25,50,"115,16",5758,2025-150.pdf,10/07/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3377,72","108,64","115,16","108,89","5444,5","313,5"
NJ,18/Sep/25,50,"118,29","5914,5",2025-152.pdf,10/08/2025,50,0,16-9,Finalizado,TRUE,FALSE,TRUE,"3471,09","111,59","118,29","111,84",5592,"322,5"
