Paquete,Cliente,Tipo genero,Nº Paquete,bruto,Total Fra,Fixing,Dto.,Fino Fra,Igi,Fino x Precio,Base,fino_factura,Expedición,P.V. Jof Cierre,Fra a Jofisa,Margen
E50_16,Nova Joia,Chatarra,16,333.31,€25496.68,,6.50%,237.23,4.50%,€26094.90,€24398.74,237.23,E50,€118.66,€28149.28,3750.5
E50_17,Gemma d'Or,Lingote Chatarra 18K,17,186.00,€14606.77,€111.63,6.50%,133.92,4.50%,€14949.49,€13977.77,133.92,E50,€111.38,€14916.01,938.2
E50_18,OrCash,Lingote Chatarra 22K,18,201.77,€20591.71,€112.72,5.00%,184.01,4.50%,€20742.09,€19704.98,184.01,E50,€112.47,€20696.08,991.1
E50_19,OrCash,Lingote Chatarra 22K,19,644.20,€66303.97,€113.68,5.00%,587.51,4.50%,€66788.18,€63448.77,587.51,E50,€113.57,€66723.56,3274.8
E50_20,OrCash,Lingote Chatarra 22K,20,644.20,€65257.06,€113.68,6.50%,587.51,4.50%,€66788.18,€62446.95,587.51,E50,€111.30,€65389.91,2943.0
E50_21,La Milla d'Or,Chatarra,21,596.23,€47784.51,€111.58,6.50%,438.30,4.50%,€48905.67,€45726.80,438.30,E50,€111.33,€48796.09,3069.3
E50_22,Gemma d'Or,Lingote Chatarra 18K,22,213.70,€16770.06,€111.55,6.50%,153.86,4.50%,€17163.53,€16047.90,153.86,E50,€111.30,€17125.06,1077.2
E50_23,Mador stock,Or inversion lingot o lámina de mes de 995,23,950.00,€102104.34,,6.50%,950.00,4.50%,€104500.00,€97707.50,950.00,E50,,€104500.00,6792.5
E50_24,OrCash,Lingote Chatarra 18K,24,230.36,€17918.82,€108.70,5.00%,166.05,4.50%,€18049.68,€17147.19,166.05,E50,€108.45,€18008.17,861.0
E51_2,Gaudia,Lingote Chatarra 18K,2,423.01,€33076.82,€111.25,5.00%,299.49,4.50%,€33318.38,€31652.46,299.49,E51,€111.00,€33243.51,1591.0
E51_3,La Milla d'Or,"Milla Chatarra,Lingote Chatarra 18K",3,497.33,€38789.95,€111.55,6.50%,355.89,4.50%,€39700.08,€37119.57,355.89,E51,€111.30,€39611.10,2491.5
E51_4,Gemma d'Or,Lingote Chatarra 18K,4,293.60,€23044.32,€111.57,6.50%,211.39,4.50%,€23585.01,€22051.98,211.39,E51,€111.32,€23532.16,1480.2
E51_5,OrCash,Lingote Chatarra 18K,5,283.07,€22509.14,€111.12,5.00%,204.05,4.50%,€22673.52,€21539.84,204.05,E51,€110.87,€22622.51,1082.7
E51_6,OrCash,Lingote Chatarra 18K,6,453.88,€37022.62,€111.41,5.00%,334.74,4.50%,€37292.99,€35428.34,334.74,E51,,€37490.49,2062.1
E51_7,Gemma d'Or,Lingote Chatarra 18K,7,250.55,€20898.84,€111.42,6.50%,191.97,4.50%,€21389.19,€19998.89,191.97,E51,€111.17,€21341.19,1342.3
E51_8,Gaudia,Lingote Chatarra 18K,8,764.19,€60829.29,€113.25,5.00%,541.05,4.50%,€61273.52,€58209.84,541.05,E51,€113.07,€61176.13,2966.3
E51_9,OrCash,Lingote Chatarra 18K,9,299.33,€24522.98,€115.15,5.00%,214.52,4.50%,€24702.07,€23466.97,214.52,E51,€114.90,€24648.44,1181.5
